driver_id,stop_id,sequence,customer_name,distance_km,travel_time_min,service_time_min,planned_eta,calculated_eta,delay_minutes,avg_speed_kmh,traffic_multiplier,is_delayed,latitude,longitude
driver_001,driver_001_stop_001,1,Customer_001,7.32,13.4,5.0,2025-08-08T16:41:03.753147,2025-08-08T16:24:27.917729,-16.6,45.0,1.37,False,25.229942,55.259903
driver_001,driver_001_stop_002,2,Customer_002,5.66,6.0,5.0,2025-08-08T17:11:03.753185,2025-08-08T16:35:30.532689,-35.6,45.0,0.8,False,25.275614,55.285062
driver_001,driver_001_stop_003,3,Customer_003,7.24,14.1,5.0,2025-08-08T17:41:03.753195,2025-08-08T16:54:34.334193,-46.5,45.0,1.46,False,25.212224,55.30267
driver_001,driver_001_stop_004,4,Customer_004,3.01,3.9,5.0,2025-08-08T18:11:03.753204,2025-08-08T17:03:29.426744,-67.6,45.0,0.98,False,25.195755,55.278974
driver_001,driver_001_stop_005,5,Customer_005,2.11,4.2,5.0,2025-08-08T18:41:03.753212,2025-08-08T17:12:40.910302,-88.4,45.0,1.49,False,25.176752,55.27872
driver_001,driver_001_stop_006,6,Customer_006,8.13,14.6,5.0,2025-08-08T19:11:03.753219,2025-08-08T17:32:14.956529,-98.8,45.0,1.34,False,25.108948,55.2479
driver_001,driver_001_stop_007,7,Customer_007,9.62,10.8,5.0,2025-08-08T19:41:03.753227,2025-08-08T17:48:03.926117,-113.0,45.0,0.84,False,25.195506,55.255176
driver_001,driver_001_stop_008,8,Customer_008,6.81,11.9,5.0,2025-08-08T20:11:03.753240,2025-08-08T18:04:56.848617,-126.1,45.0,1.31,False,25.197521,55.187667
driver_001,driver_001_stop_009,9,Customer_009,7.71,14.3,5.0,2025-08-08T20:41:03.753248,2025-08-08T18:24:13.490076,-136.8,45.0,1.39,False,25.217415,55.260942
driver_002,driver_002_stop_001,1,Customer_001,7.83,9.8,5.0,2025-08-08T16:41:03.753266,2025-08-08T16:20:48.787315,-20.2,40.0,0.83,False,25.223959,55.261425
driver_002,driver_002_stop_002,2,Customer_002,5.8,11.3,5.0,2025-08-08T17:11:03.753274,2025-08-08T16:37:04.817619,-34.0,40.0,1.29,False,25.206602,55.31577
driver_002,driver_002_stop_003,3,Customer_003,2.1,3.0,5.0,2025-08-08T17:41:03.753283,2025-08-08T16:45:07.340380,-55.9,40.0,0.97,False,25.195358,55.299006
driver_002,driver_002_stop_004,4,Customer_004,7.89,11.9,5.0,2025-08-08T18:11:03.753290,2025-08-08T17:02:00.355252,-69.1,40.0,1.0,False,25.126055,55.281016
driver_002,driver_002_stop_005,5,Customer_005,7.83,11.3,5.0,2025-08-08T18:41:03.753296,2025-08-08T17:18:21.285286,-82.7,40.0,0.97,False,25.195212,55.264919
driver_002,driver_002_stop_006,6,Customer_006,1.97,2.9,5.0,2025-08-08T19:11:03.753303,2025-08-08T17:26:17.256610,-104.8,40.0,0.99,False,25.208176,55.251534
driver_003,driver_003_stop_001,1,Customer_001,11.5,18.7,5.0,2025-08-08T16:41:03.753316,2025-08-08T16:29:43.486856,-11.3,50.0,1.35,False,25.265932,55.301941
driver_003,driver_003_stop_002,2,Customer_002,2.78,4.4,5.0,2025-08-08T17:11:03.753324,2025-08-08T16:39:06.331243,-32.0,50.0,1.31,False,25.24084,55.302616
driver_003,driver_003_stop_003,3,Customer_003,7.67,10.8,5.0,2025-08-08T17:41:03.753331,2025-08-08T16:54:53.822094,-46.2,50.0,1.17,False,25.174926,55.325801
driver_003,driver_003_stop_004,4,Customer_004,3.66,5.6,5.0,2025-08-08T18:11:03.753338,2025-08-08T17:05:30.389567,-65.6,50.0,1.28,False,25.195716,55.297547
driver_003,driver_003_stop_005,5,Customer_005,5.09,5.3,5.0,2025-08-08T18:41:03.753344,2025-08-08T17:15:48.496122,-85.3,50.0,0.87,False,25.165361,55.259659
driver_003,driver_003_stop_006,6,Customer_006,2.34,2.3,5.0,2025-08-08T19:11:03.753351,2025-08-08T17:23:08.229291,-107.9,50.0,0.83,False,25.178413,55.241437
driver_003,driver_003_stop_007,7,Customer_007,8.74,12.4,5.0,2025-08-08T19:41:03.753357,2025-08-08T17:40:30.679309,-120.6,50.0,1.18,False,25.229217,55.175026
driver_003,driver_003_stop_008,8,Customer_008,8.44,9.1,5.0,2025-08-08T20:11:03.753363,2025-08-08T17:54:36.072066,-136.5,50.0,0.9,False,25.230874,55.258719
